,OWT,oli01,oli02,oli03,oli04,oli08
OWT-1,1,0.0016654637058823528,0.002098342326530612,0.003670941775510205,0.00306628444,0.0034027115586206897
OWT-2,2,0.003749638529411764,0.002858563469387756,0.003500897448979592,0.0015977931200000003,0.002744250875862071
OWT-3,3,0.0009151527647058824,0.0009697388979591836,0.00330555924489796,0.0020196094399999994,0.0028571201034482776
OWT-4,4,0.0011552577058823532,0.0017870233265306124,0.004675226346938774,0.00291617876,0.003811378317241379
OWT-5,5,0.0031550066470588238,0.0032584834081632653,0.004051474612244899,0.00194718332,0.0031923246620689655
OWT-6,6,0.0010668305294117648,0.0017963084693877545,0.004307604489795918,0.0035915226,0.004002607882758622
OWT-7,7,0.0009862523529411762,0.0007708242244897959,0.001957476244897959,0.004003972800000001,0.002582477855172414
OWT-8,8,0.0017662894117647058,0.002399663489795919,0.004352470591836735,0.0028919213200000004,0.0037437597655172405
OWT-9,9,0.000595871705882353,0.0008672491428571432,0.002303900387755102,0.00127475532,0.0016870015241379306
OWT-10,10,0.004697276117647059,0.00527567493877551,0.003970535591836735,0.0007659492799999999,0.002579883420689655
OWT-11,11,0.002477246647058824,0.003263870795918368,0.0054204080816326545,0.0017200781999999997,0.003751117999999999
OWT-12,12,0.007518223117647057,0.006239297326530613,0.0019072551224489792,0.00030188792,0.0012707935862068956
OWT-13,13,0.0020232415294117643,0.00283875418367347,0.005049533591836734,0.00236664748,0.003889120103448277
