,OWT,tm01_agm,tm02_agm,tm03_agm
OWT-1,1,0.0021496835517241376,0.003712529969696969,0.002942531359999999
OWT-2,2,0.0027627916206896556,0.0035332833636363636,0.0015809679199999998
OWT-3,3,0.000981900172413793,0.0033942997575757573,0.0018948474399999996
OWT-4,4,0.0018492485517241377,0.004792368454545454,0.0027176284400000006
OWT-5,5,0.003284122827586207,0.004099827121212122,0.0018857763200000003
OWT-6,6,0.0018895936896551723,0.0043579302727272725,0.00340802844
OWT-7,7,0.0007694687586206899,0.0019557661212121218,0.0040800561600000005
OWT-8,8,0.0024770741034482765,0.004403389030303031,0.0027526954400000003
OWT-9,9,0.0008889506551724136,0.0024120682727272725,0.00120371624
OWT-10,10,0.005378095034482758,0.004038211030303031,0.00074529912
OWT-11,11,0.003355744655172414,0.005537226909090909,0.0016213826400000002
OWT-12,12,0.0061674213793103455,0.0019071864242424246,0.00028745496000000004
OWT-13,13,0.0029389723103448273,0.005139769424242425,0.0022332556000000006
